,query,result,exec_time,mode
33,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Toyota%')))) AND working_hours > 8
",4423.9,33.22741985321045,bounded
34,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Toyota%')))) AND working_hours > 8
",4425.2,33.275604248046875,fastbounded
35,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Toyota%')))) AND working_hours > 8
",4424.4,33.275485038757324,winsorized
36,"SELECT COUNT(price) FROM (SELECT price FROM (SELECT price, total_distance FROM completeride WHERE pickup_location like '%Mott Haven%')AS n1 WHERE total_distance > 10) AS n2 WHERE price > 10
",27525.0,15.09709358215332,normal
37,"SELECT COUNT(price) FROM (SELECT price FROM (SELECT price, total_distance FROM completeride WHERE pickup_location like '%Mott Haven%')AS n1 WHERE total_distance > 10) AS n2 WHERE price > 10
",27525.0,23.957371711730957,bounded
38,"SELECT COUNT(price) FROM (SELECT price FROM (SELECT price, total_distance FROM completeride WHERE pickup_location like '%Mott Haven%')AS n1 WHERE total_distance > 10) AS n2 WHERE price > 10
",27525.1,24.063849449157715,fastbounded
39,"SELECT COUNT(price) FROM (SELECT price FROM (SELECT price, total_distance FROM completeride WHERE pickup_location like '%Mott Haven%')AS n1 WHERE total_distance > 10) AS n2 WHERE price > 10
",27525.5,24.163198471069336,winsorized
40,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))))) AND price>60
",524.0,28.270411491394043,normal
41,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))))) AND price>60
",524.6,37.225937843322754,bounded
42,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))))) AND price>60
",524.5,42.81430244445801,fastbounded
43,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))))) AND price>60
",523.8,51.151084899902344,winsorized
44,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Hyundai%')))))) AND pickup_location LIKE '%South Bronx%'
",4044.0,41.495704650878906,normal
45,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Hyundai%')))))) AND pickup_location LIKE '%South Bronx%'
",4044.2,50.0014066696167,bounded
46,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Hyundai%')))))) AND pickup_location LIKE '%South Bronx%'
",4043.7,49.95412826538086,fastbounded
47,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Hyundai%')))))) AND pickup_location LIKE '%South Bronx%'
",4043.8,50.042033195495605,winsorized
48,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 50
",0.0,8.24592113494873,normal
49,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 50
",,20.48649787902832,bounded
50,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 50
",,26.454758644104004,fastbounded
51,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 50
",,24.779772758483887,winsorized
52,"SELECT COUNT(passenger_id) FROM passenger WHERE (passenger_id IN (SELECT passenger_id FROM completeride WHERE (driver_id IN ( SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition = 4)))))) AND fname LIKE 'a%'
",4014.0,41.631150245666504,normal
53,"SELECT COUNT(passenger_id) FROM passenger WHERE (passenger_id IN (SELECT passenger_id FROM completeride WHERE (driver_id IN ( SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition = 4)))))) AND fname LIKE 'a%'
",4014.5,49.0009069442749,bounded
54,"SELECT COUNT(passenger_id) FROM passenger WHERE (passenger_id IN (SELECT passenger_id FROM completeride WHERE (driver_id IN ( SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition = 4)))))) AND fname LIKE 'a%'
",4014.4,48.888492584228516,fastbounded
55,"SELECT COUNT(passenger_id) FROM passenger WHERE (passenger_id IN (SELECT passenger_id FROM completeride WHERE (driver_id IN ( SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition = 4)))))) AND fname LIKE 'a%'
",4013.8,48.72937202453613,winsorized
56,"SELECT COUNT(driver_id) FROM (SELECT driver_id, price FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 20)AS n1 WHERE price>60
",378.0,28.732919692993164,normal
57,"SELECT COUNT(driver_id) FROM (SELECT driver_id, price FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 20)AS n1 WHERE price>60
",378.3,37.3302698135376,bounded
58,"SELECT COUNT(driver_id) FROM (SELECT driver_id, price FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 20)AS n1 WHERE price>60
",378.3,37.42687702178955,fastbounded
59,"SELECT COUNT(driver_id) FROM (SELECT driver_id, price FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN ( SELECT lisence_plate FROM car WHERE (model_id IN (SELECT model_id FROM size_x WHERE model_year = 2010)))))) AND total_distance > 20)AS n1 WHERE price>60
",378.0,37.53955364227295,winsorized
